Column,Missing Values,Missing Percentage
Unnamed: 28,7555,99.93
Unnamed: 50,7076,93.6
Unnamed: 51,7076,93.6
Unnamed: 49,7076,93.6
Unnamed: 52,7076,93.6
Unnamed: 43,7076,93.6
Unnamed: 41,7076,93.6
Unnamed: 42,7076,93.6
Unnamed: 47,7076,93.6
Unnamed: 46,7076,93.6
Unnamed: 45,7076,93.6
Unnamed: 48,7076,93.6
Unnamed: 44,7076,93.6
Unnamed: 39,7076,93.6
Unnamed: 38,7076,93.6
Unnamed: 37,7076,93.6
Unnamed: 40,7076,93.6
Unnamed: 58,7075,93.58
Unnamed: 57,7075,93.58
Unnamed: 56,7075,93.58
Unnamed: 59,7075,93.58
Unnamed: 54,7075,93.58
Unnamed: 53,7075,93.58
Unnamed: 63,7075,93.58
Unnamed: 55,7075,93.58
Unnamed: 64,7075,93.58
Unnamed: 67,7075,93.58
Unnamed: 65,7075,93.58
Unnamed: 62,7073,93.56
Unnamed: 66,7073,93.56
Unnamed: 60,7072,93.54
Unnamed: 61,7072,93.54
Source.6,7056,93.33
Source.5,7007,92.69
Power (watts),6981,92.34
Source.1,6835,90.41
Source.4,6831,90.36
Dry Mass (kg.),6793,89.85
Source.3,6434,85.11
Detailed Purpose,6306,83.41
Source.2,5728,75.77
Comments,5475,72.42
Source,4274,56.53
Expected Lifetime (yrs.),2110,27.91
Source Used for Orbital Data,924,12.22
Type of Orbit,651,8.61
Launch Mass (kg.),245,3.24
Period (minutes),56,0.74
Eccentricity,11,0.15
Perigee (km),7,0.09
Apogee (km),7,0.09
Inclination (degrees),4,0.05
Longitude of GEO (degrees),3,0.04
Date of Launch,1,0.01
Country/Org of UN Registry,1,0.01
"Name of Satellite, Alternate Names",0,0.0
Country of Operator/Owner,0,0.0
Current Official Name of Satellite,0,0.0
Launch Site,0,0.0
Launch Vehicle,0,0.0
Class of Orbit,0,0.0
Operator/Owner,0,0.0
Country of Contractor,0,0.0
Contractor,0,0.0
COSPAR Number,0,0.0
NORAD Number,0,0.0
Users,0,0.0
Purpose,0,0.0
